,sgID,CRISPRoff-Rep1,CRISPRoff Rep2,CRISPRoff mut Rep1,CRISPRoff mut Rep2,gene,source_A,CRISPRoff_average,mutant_average,CpG,hit_and_run_hit,mutant_hit
4149,CABP4_-_67222917.23-P2|CABP4_+_67222955.23-P2,-0.002277914,0.019858909,0.027187573,0.00740261,CABP4,predicted,0.008790498,0.017295092,FALSO,FALSO,FALSO
18670,"SPDYE2_+_102191744.23-ENST00000432940.1,ENST00000507918.1|SPDYE2_+_102191690.23-ENST00000432940.1,ENST00000507918.1",0.015073115,0.002509569,-0.000812306,0.009358302,SPDYE2,predicted,0.008791342,0.004272998,FALSO,FALSO,FALSO
13282,SCG2_+_224467042.23-P1P2|SCG2_+_224467045.23-P1P2,0.032600087,-0.015013482,0.006071304,0.021472506,SCG2,predicted,0.008793303,0.013771905,FALSO,FALSO,FALSO
2108,AGTRAP_+_11796247.23-P1P2|AGTRAP_+_11796254.23-P1P2,0.006102558,0.011495411,-0.017993356,0.006679169,AGTRAP,predicted,0.008798984,-0.005657094,VERDADERO,FALSO,FALSO
10643,APOA5_+_116662572.23-P1P2|APOA5_+_116662545.23-P1P2,0.018978641,-0.001375018,0.021430942,0.001820071,APOA5,predicted,0.008801811,0.011625506,VERDADERO,FALSO,FALSO
14169,non-targeting_00295|non-targeting_01125,0.020257991,-0.002651713,0.038403854,0.020160036,non-targeting,negative_control,0.008803139,0.029281945,FALSO,FALSO,FALSO
10782,AMBN_+_71458058.23-P1P2|AMBN_+_71457964.23-P1P2,0.012308612,0.005313732,-0.012347253,-0.017648095,AMBN,predicted,0.008811172,-0.014997674,FALSO,FALSO,FALSO
2246,ZNF280B_-_22863029.23-P1P2|ZNF280B_+_22863021.23-P1P2,0.011846614,0.005779713,0.015669196,-0.006147367,ZNF280B,predicted,0.008813163,0.004760914,VERDADERO,FALSO,FALSO
11399,LRRTM3_+_68685867.23-P1P2|LRRTM3_-_68685858.23-P1P2,0.021099503,-0.003469368,-0.032213958,-0.018641921,LRRTM3,predicted,0.008815068,-0.025427939,FALSO,FALSO,FALSO
6622,KCTD4_+_45768778.23-P1P2|KCTD4_+_45768765.23-P1P2,0.024397681,-0.00676278,0.001039742,0.019467397,KCTD4,predicted,0.008817451,0.01025357,FALSO,FALSO,FALSO
4256,SEPT6_+_118827064.23-P1P2|SEPT6_+_118826912.23-P1P2,0.004840921,0.012797353,0.008558662,0.015291413,44080,predicted,0.008819137,0.011925037,VERDADERO,FALSO,FALSO
6908,non-targeting_02974|non-targeting_00102,0.002753153,0.014923177,0.02869114,0.017181978,non-targeting,negative_control,0.008838165,0.022936559,FALSO,FALSO,FALSO
5603,RTN4RL2_+_57227997.23-P1P2|RTN4RL2_-_57228059.23-P1P2,0.001314538,0.016361869,0.026012553,0.024308477,RTN4RL2,predicted,0.008838204,0.025160515,VERDADERO,FALSO,FALSO
11606,NT5C3B_+_39992441.23-P1P2|NT5C3B_+_39992445.23-P1P2,0.040705241,-0.023027376,0.016719709,-0.006606195,NT5C3B,predicted,0.008838933,0.005056757,VERDADERO,FALSO,FALSO
10086,TIMP4_+_12200413.23-P1P2|TIMP4_-_12200399.23-P1P2,0.028495645,-0.01078617,0.001300125,0.024096329,TIMP4,predicted,0.008854738,0.012698227,VERDADERO,FALSO,FALSO
2965,OPLAH_-_145115430.23-P1P2|OPLAH_+_145115550.23-P1P2,0.005192401,0.012521756,0.037433732,0.011883049,OPLAH,predicted,0.008857079,0.02465839,VERDADERO,FALSO,FALSO
9098,ZNF865_-_56125009.23-P1P2|ZNF865_-_56125002.23-P1P2,-0.001791193,0.019526353,0.011519967,0.023868162,ZNF865,predicted,0.00886758,0.017694065,VERDADERO,FALSO,FALSO
20799,GPR152_+_67220166.23-ENST00000312457.2|GPR152_-_67220184.23-ENST00000312457.2,0.038131642,-0.020373591,-0.148983016,0.005001194,GPR152,predicted,0.008879025,-0.071990911,FALSO,FALSO,FALSO
19267,DPEP3_+_68014349.23-P1P2|DPEP3_-_68014382.23-P1P2,0.001475986,0.016283406,-0.013734691,-0.002033889,DPEP3,predicted,0.008879696,-0.00788429,VERDADERO,FALSO,FALSO
20064,RIC3_-_8190550.23-P1P2|RIC3_+_8190532.23-P1P2,0.000338152,0.017444715,0.036934774,-0.045102966,RIC3,predicted,0.008891433,-0.004084096,VERDADERO,FALSO,FALSO
6844,THOC3_+_175395054.23-P1P2|THOC3_-_175395160.23-P1P2,-0.008806849,0.026593016,-0.01829204,-0.009127919,THOC3,predicted,0.008893083,-0.013709979,VERDADERO,FALSO,FALSO
21077,CAMKK2_-_121734488.23-P1P2|CAMKK2_-_121734444.23-P1P2,-0.038873357,0.056660121,-0.020008548,-0.087264172,CAMKK2,predicted,0.008893382,-0.05363636,VERDADERO,FALSO,FALSO
6902,MATN1_-_31192043.23-P2|MATN1_-_31192079.23-P2,0.011768806,0.006026493,-0.017081568,0.005372302,MATN1,predicted,0.008897649,-0.005854633,VERDADERO,FALSO,FALSO
15458,TOB2_+_41842825.23-P1P2|TOB2_-_41842753.23-P1P2,-0.002362088,0.020209656,-0.052855648,-0.067461646,TOB2,predicted,0.008923784,-0.060158647,VERDADERO,FALSO,FALSO
13026,TNFRSF9_+_8000861.23-P1P2|TNFRSF9_+_8000878.23-P1P2,0.006364924,0.011506764,-0.039339827,-0.024859578,TNFRSF9,predicted,0.008935844,-0.032099702,VERDADERO,FALSO,FALSO
1116,MYZAP_+_57884092.23-P1P2|MYZAP_+_57884167.23-P1P2,0.02082024,-0.002924692,0.012180593,0.002452463,MYZAP,predicted,0.008947774,0.007316528,VERDADERO,FALSO,FALSO
9413,ZHX3_+_39946314.23-P1P2|ZHX3_+_39946310.23-P1P2,-0.015182812,0.03308426,0.006883301,0.018890316,ZHX3,predicted,0.008950724,0.012886808,VERDADERO,FALSO,FALSO
